iter	Accuracy	Logloss
0	0.7424364989	0.6868301949
1	0.7701019253	0.6809416284
2	0.7890309011	0.6762928948
3	0.8073127326	0.6718330669
4	0.8126516745	0.6668454417
5	0.8108720272	0.6616680207
6	0.8139459634	0.6579173082
7	0.809254166	0.6540187454
8	0.8077980909	0.6502694843
9	0.8031062935	0.6468230625
10	0.799708785	0.6430624186
11	0.7967966348	0.63915659
12	0.8110338133	0.6346592344
13	0.8154020385	0.6296470748
14	0.8165345413	0.6253075209
15	0.8144313218	0.62055446
16	0.8183141886	0.6165590508
17	0.8191231192	0.612938399
18	0.8181524025	0.6088550817
19	0.8199320498	0.6059420937
20	0.8194466915	0.6023220352
21	0.8204174082	0.5980532499
22	0.8262417085	0.5953188943
23	0.8273742113	0.591939022
24	0.8291538586	0.5880749789
25	0.8322277949	0.5848938675
26	0.8331985116	0.5821258827
27	0.8317424365	0.5797461864
28	0.8343310144	0.576527313
29	0.8365960201	0.5729704112
30	0.8393463841	0.568805161
31	0.841934962	0.5655912893
32	0.8429056787	0.563270964
33	0.8420967481	0.5606037789
34	0.8441999676	0.5572145352
35	0.8453324705	0.5542833364
36	0.8469503317	0.5509118404
37	0.84743569	0.548182416
38	0.8482446206	0.5451183896
39	0.8493771234	0.5419130716
40	0.8484064067	0.5390531299
41	0.8519657013	0.5364155291
42	0.8547160654	0.5338206731
43	0.8543924931	0.5313028079
44	0.8548778515	0.5280249593
45	0.85827536	0.5243825234
46	0.8590842906	0.5208694263
47	0.8600550073	0.5185911605
48	0.8602167934	0.5152569374
49	0.8611875101	0.5129985537
50	0.8636143019	0.5102903049
51	0.8629671574	0.5077799096
52	0.8658793076	0.5049866111
53	0.8663646659	0.5019883817
54	0.866526452	0.4999124135
55	0.8681443132	0.4975290597
56	0.8694386022	0.4950237633
57	0.8702475328	0.4930112131
58	0.8715418217	0.4907328973
59	0.8734832551	0.4891125222
60	0.8744539718	0.4866129795
61	0.8754246886	0.4842576777
62	0.8770425497	0.4817192217
63	0.8770425497	0.4799582567
64	0.8786604109	0.4772080037
65	0.8786604109	0.4752453124
66	0.8783368387	0.4730394846
67	0.8809254166	0.4702022303
68	0.8851318557	0.4672360937
69	0.8865879308	0.465500498
70	0.8875586475	0.4629764767
71	0.886911503	0.461222033
72	0.8883675781	0.4586057051
73	0.8895000809	0.4565703727
74	0.889661867	0.4546552542
75	0.890956156	0.4527427831
76	0.8917650866	0.4510659534
77	0.892412231	0.4491006875
78	0.8928975894	0.4465892089
79	0.8930593755	0.4448903861
80	0.8945154506	0.4427233774
81	0.8953243812	0.4410725987
82	0.8971040285	0.4392713279
83	0.8990454619	0.4371194829
84	0.9008251092	0.4351044603
85	0.9013104676	0.4336394725
86	0.9017958259	0.4314548651
87	0.903251901	0.4299804919
88	0.9043844038	0.4286231146
89	0.9051933344	0.4265020014
90	0.9056786928	0.4247923049
91	0.9066494095	0.4229678536
92	0.9076201262	0.4211343727
93	0.9079436984	0.4192829173
94	0.910046918	0.4170442526
95	0.9111794208	0.4156029519
96	0.9116647792	0.4135296676
97	0.9105322763	0.4120837942
98	0.9110176347	0.4105834577
99	0.9119883514	0.4086050004
100	0.912797282	0.4066884553
101	0.9136062126	0.4052763642
102	0.9140915709	0.4038700115
103	0.9150622877	0.4021212769
104	0.9145769293	0.4003912448
105	0.9161947905	0.3989035667
106	0.9178126517	0.3970594035
107	0.9174890794	0.3958300026
108	0.9191069406	0.3943841373
109	0.919592299	0.3927585829
110	0.9199158712	0.3916535583
111	0.9204012296	0.3901149657
112	0.921048374	0.3886887483
113	0.9226662352	0.3862580041
114	0.9229898075	0.3843692493
115	0.9225044491	0.3825847015
116	0.9228280214	0.3808875626
117	0.9236369519	0.3796838288
118	0.9237987381	0.3785230357
119	0.9237987381	0.3771355961
120	0.925093027	0.3751049781
121	0.9254165993	0.3737490952
122	0.9257401715	0.3721269757
123	0.9259019576	0.3710251221
124	0.926387316	0.3692493806
125	0.9267108882	0.3681041691
126	0.9271962466	0.3668804065
127	0.9273580327	0.3648632976
128	0.9276816049	0.3640547536
