iter	Passed	Remaining
0	38	230104
1	72	216425
2	103	207045
3	137	205496
4	168	201888
5	201	200943
6	233	199624
7	274	205488
8	308	205422
9	341	204466
10	372	203028
11	407	203461
12	439	202414
13	471	201762
14	514	205425
15	547	204853
16	580	204216
17	613	203807
18	647	203709
19	679	203235
20	712	202788
21	752	204596
22	787	204601
23	819	203935
24	852	203711
25	885	203361
26	917	202975
27	949	202452
28	991	204091
29	1035	206103
30	1082	208445
31	1127	210347
32	1187	214785
33	1258	220840
34	1296	221028
35	1334	221042
36	1372	221210
37	1413	221702
38	1454	222311
39	1521	226772
40	1572	228582
41	1618	229551
42	1658	229762
43	1697	229821
44	1745	231035
45	1793	232090
46	1845	233759
47	1883	233590
48	1930	234494
49	1988	236584
50	2043	238317
51	2082	238232
52	2120	237911
53	2163	238238
54	2217	239654
55	2266	240550
56	2304	240292
57	2346	240389
58	2385	240222
59	2427	240307
60	2480	241538
61	2518	241216
62	2561	241349
63	2612	242263
64	2673	244120
65	2711	243758
66	2748	243416
67	2785	243029
68	2828	243164
69	2877	243786
70	2937	245265
71	2981	245486
72	3031	246093
73	3068	245704
74	3121	246624
75	3179	247805
76	3219	247644
77	3257	247299
78	3305	247777
79	3364	248955
80	3420	249968
81	3464	250045
82	3519	250912
83	3555	250441
84	3605	250866
85	3649	250947
86	3688	250669
87	3727	250444
88	3765	250081
89	3809	250169
90	3879	251904
91	3941	253087
92	3986	253196
93	4045	254171
94	4090	254274
95	4136	254387
96	4174	254043
97	4211	253662
98	4256	253706
99	4309	254269
100	4347	253903
101	4385	253607
102	4425	253353
103	4468	253307
104	4524	254019
105	4572	254266
106	4624	254690
107	4678	255214
108	4754	256979
109	4816	257900
110	4856	257644
111	4897	257493
112	4945	257641
113	4983	257295
114	5026	257227
115	5072	257298
116	5130	257962
117	5202	259311
118	5258	259885
119	5299	259665
120	5346	259783
121	5398	260114
122	5452	260535
123	5513	261261
124	5567	261656
125	5632	262576
126	5701	263668
127	5741	263407
128	5784	263255
129	5829	263224
130	5868	262897
131	5907	262612
132	5952	262594
133	6031	264038
134	6091	264652
135	6134	264514
136	6176	264306
137	6215	264007
138	6263	264110
139	6302	263798
140	6334	263217
141	6366	262623
142	6398	262063
143	6431	261566
144	6466	261109
145	6504	260800
146	6539	260385
147	6573	259931
148	6605	259406
149	6638	258887
150	6678	258682
151	6718	258482
152	6750	257983
153	6783	257513
154	6816	257037
155	6848	256572
156	6899	256782
157	6945	256811
158	6978	256352
159	7014	256027
160	7047	255603
161	7080	255149
162	7116	254826
163	7153	254570
164	7185	254115
165	7217	253658
166	7250	253244
167	7282	252799
168	7314	252380
169	7357	252332
170	7391	251944
171	7423	251529
