iter	Passed	Remaining
0	1071	1070530
1	2160	1078213
2	3186	1058891
3	4245	1057201
4	5254	1045611
5	6317	1046530
6	7284	1033345
7	8359	1036608
8	9344	1028902
9	10281	1017896
10	11330	1018688
11	12288	1011769
12	13246	1005749
13	14229	1002189
14	15224	999757
15	16305	1002783
16	17346	1003047
17	18406	1004184
18	19518	1007758
19	20588	1008841
20	21654	1009506
21	22698	1009067
22	23730	1008023
23	24677	1003563
24	25612	998869
25	26547	994521
26	27668	997076
27	28758	998332
28	29817	998356
29	30914	999583
30	32022	1000959
31	33055	999919
32	34139	1000389
33	35234	1001076
34	36241	999221
35	37187	995798
36	38169	993432
37	39131	990655
38	40184	990198
39	41137	987300
40	42078	984225
41	43014	981130
42	43970	978600
43	44914	975874
44	45849	973026
45	46799	970575
46	47745	968117
47	48687	965631
48	49634	963316
49	50578	960989
50	51523	958750
51	52476	956681
52	53432	954721
53	54367	952429
54	55362	951223
55	56323	949448
56	57288	947774
57	58266	946328
58	59207	944314
59	60145	942272
60	61092	940417
61	62062	938948
62	63002	937041
63	63947	935236
64	64887	933388
65	65827	931552
66	66775	929871
67	67719	928157
68	68677	926651
69	69618	924927
70	70569	923362
71	71509	921677
72	72467	920239
73	73413	918664
74	74399	917594
75	75529	918279
76	76575	917909
77	77544	916617
78	78483	914975
79	79435	913503
80	80381	911980
81	81315	910340
82	82272	908965
83	83222	907519
84	84168	906050
85	85117	904617
86	86172	904312
87	87118	902865
88	88054	901321
89	89017	900064
90	89960	898620
91	90936	897499
92	91919	896465
93	92880	895207
94	93850	894046
95	94810	892794
96	95828	892091
97	96844	891366
98	97833	890381
99	98829	889462
100	99834	888627
101	100831	887711
102	101846	886952
103	102855	886138
104	103851	885211
105	104866	884444
106	105866	883541
107	106907	882977
108	108144	884010
109	109201	883537
110	110289	883306
111	111315	882573
112	112315	881623
113	113316	880687
114	114298	879600
115	115293	878614
116	116301	877728
117	117296	876740
118	118291	875755
119	119296	874839
120	120291	873853
121	121282	872833
122	122323	872176
123	123339	871333
124	124325	870280
125	125309	869213
126	126310	868257
127	127300	867236
128	128299	866271
129	129296	865290
130	130303	864376
131	131290	863336
132	132292	862387
133	133281	861356
134	134270	860325
135	135273	859386
136	136257	858324
137	137314	857715
138	138468	857704
139	139577	857405
140	140601	856574
141	141634	855789
142	142749	855496
143	143831	855000
144	144841	854065
145	145846	853100
146	146848	852122
147	147843	851098
148	148836	850063
149	149829	849034
150	150826	848023
151	151852	847176
152	152860	846226
153	153863	845250
154	154852	844194
155	155846	843169
156	156836	842124
157	157859	841249
158	158890	840422
159	159876	839351
160	160885	838402
161	161867	837315
162	162868	836325
163	163869	835335
164	164859	834287
165	165848	833238
166	166844	832223
167	167839	831207
168	168859	830308
169	169890	829466
170	170882	828432
171	171872	827387
172	172860	826335
173	173866	825365
174	174848	824287
175	175921	823633
176	176909	822577
177	177937	821710
178	178924	820653
179	179908	819582
180	180905	818572
181	181940	817731
182	182929	816683
183	183935	815714
184	184921	814652
185	185917	813640
186	186918	812643
187	187934	811717
188	188921	810661
189	189911	809621
190	190904	808594
191	191888	807532
192	192888	806534
193	193925	805690
194	194926	804694
195	195911	803638
196	196902	802601
197	197929	801714
198	198927	800707
199	199920	799682
200	200909	798640
201	201921	797690
202	202908	796641
203	203905	795630
204	204952	794816
205	205941	793776
206	206936	792755
207	207917	791685
208	208897	790612
209	209902	789631
210	210892	788598
211	211922	787713
212	212916	786692
213	213918	785699
214	214909	784670
215	215915	783694
216	216915	782694
217	217909	781674
218	218892	780615
219	219938	779783
220	220934	778769
221	221920	777720
222	222915	776704
223	223908	775681
224	224893	774634
225	225890	773623
226	226883	772602
227	227940	771798
228	229078	771264
229	230107	770360
230	231219	769730
231	232256	768850
232	233316	768041
233	234314	767030
234	235466	766519
235	236480	765556
236	237467	764505
237	238470	763505
238	239463	762475
239	240446	761412
240	241482	760518
241	242510	759597
242	243495	758544
243	244513	757590
244	245519	756600
245	246510	755565
246	247509	754551
247	248497	753509
248	249492	752484
249	250478	751436
250	251463	750384
251	252457	749356
252	253453	748338
253	254439	747290
254	255449	746312
255	256444	745293
256	257432	744250
257	258434	743250
258	259454	742300
259	260463	741318
260	261455	740290
261	262453	739277
262	263443	738244
263	264430	737198
264	265422	736171
265	266411	735134
266	267401	734101
267	268392	733072
268	269382	732038
269	270369	730999
270	271367	729989
271	272366	728981
272	273345	727919
273	274353	726936
274	275384	726014
275	276392	725029
276	277379	723990
277	278363	722944
278	279378	721978
279	280371	720954
280	281364	719931
281	282356	718908
282	283345	717874
283	284337	716851
284	285340	715853
285	286332	714831
286	287322	713801
287	288324	712801
288	289319	711787
289	290315	710771
290	291313	709762
291	292327	708794
292	293333	707803
293	294344	706828
294	295412	705986
295	296421	705002
296	297456	704079
297	298471	703110
298	299458	702075
299	300445	701039
300	301446	700036
301	302470	699086
302	303488	698123
303	304501	697147
304	305498	696136
305	306493	695118
306	307483	694090
307	308527	693184
308	309565	692264
309	310567	691262
310	311579	690282
311	312602	689328
312	313611	688342
313	314611	687336
314	315628	686367
315	316793	685717
316	317903	684947
317	319070	684296
318	320108	683367
319	321190	682529
320	322205	681549
321	323215	680558
322	324246	679613
323	325263	678636
324	326261	677619
325	327264	676613
326	328300	675676
327	329312	674688
328	330294	673641
329	331296	672632
330	332339	671708
331	333439	670897
332	334454	669914
333	335438	668869
334	336426	667831
335	337426	666819
336	338434	665821
337	339449	664838
338	340454	663835
339	341450	662816
