iter	Logloss
0	0.6744363917
1	0.6568842535
2	0.6425081581
3	0.6298706438
4	0.6175120794
5	0.6058620725
6	0.5960257037
7	0.5874154945
8	0.5797113202
9	0.5722097946
10	0.5655423209
11	0.5592681884
12	0.5536223097
13	0.5485079203
14	0.5441145639
15	0.5403179241
16	0.5366575144
17	0.5329052662
18	0.5294683272
19	0.5268448785
20	0.5240306365
21	0.5214899207
22	0.5191125453
23	0.516829046
24	0.5151757809
25	0.5134771937
26	0.5117615667
27	0.5098667318
28	0.5083316592
29	0.507315532
30	0.5062285002
31	0.5049728243
32	0.5038695687
33	0.5027961811
34	0.5019005124
35	0.5010537135
36	0.5001293154
37	0.4993223516
38	0.4985635211
39	0.4978910197
40	0.4972526406
41	0.4966938141
42	0.4960908954
43	0.4956067604
44	0.4950531369
45	0.4945236856
46	0.4941498373
47	0.4937039901
48	0.4933366189
49	0.4929457844
50	0.4925391394
51	0.492225967
52	0.4918617329
53	0.4915079685
54	0.4911527867
55	0.4908093528
56	0.490487346
57	0.4901681828
58	0.489838988
59	0.4895544694
60	0.4893115205
61	0.4890045723
62	0.4887661824
63	0.4884917858
64	0.4882821887
65	0.488093148
66	0.487845479
67	0.4876291878
68	0.4874170284
69	0.4871853922
70	0.4870163178
71	0.4868296067
72	0.4866605355
73	0.4864709838
74	0.4862957685
75	0.486144311
76	0.4860133369
77	0.4858346984
78	0.4856760971
79	0.4855457469
80	0.4854383308
81	0.485271087
82	0.485136506
83	0.4849998885
84	0.4848864743
85	0.4847730598
86	0.4846292621
87	0.4844701964
88	0.484356907
89	0.4842532398
90	0.4841180144
91	0.4840145405
92	0.4838737664
93	0.4837728276
94	0.4836746007
95	0.4835555141
96	0.4834185762
97	0.4832784811
98	0.4831490579
99	0.4830445975
100	0.4829476737
101	0.4828754789
102	0.4827713358
103	0.4826639284
104	0.4826076069
105	0.4825254543
106	0.4824340471
107	0.4823277894
108	0.4822486264
109	0.4821804629
110	0.4820813131
111	0.4819990484
112	0.481909404
113	0.4818375462
114	0.4817324996
115	0.481649728
116	0.4815588587
117	0.4815036009
118	0.4814426778
119	0.4813599394
120	0.4812424238
121	0.4811519282
122	0.4810476612
123	0.4809804039
124	0.4809212109
125	0.4808281251
126	0.4807525742
127	0.4806629302
128	0.480586929
129	0.4805105763
130	0.4804360766
131	0.4803586508
132	0.4802639874
133	0.4801837451
134	0.4801152436
135	0.4800161032
136	0.4799357213
137	0.4798580735
138	0.4797461936
139	0.47969205
140	0.47963628
141	0.4795525874
142	0.4794802748
143	0.4794226874
144	0.4794188107
145	0.4793233924
146	0.4792777406
147	0.4791984189
148	0.4791229127
149	0.4790224003
150	0.4789602832
151	0.4789080739
152	0.4788478434
153	0.4787611641
154	0.478700685
155	0.4786156968
156	0.4785376671
157	0.4784841795
158	0.478431709
159	0.4783554304
160	0.4782930137
161	0.4782486793
162	0.4781925124
163	0.4780960519
164	0.4780413341
165	0.4779959013
166	0.4779396188
167	0.4778555643
168	0.4778019164
