iter	Passed	Remaining
0	4	707
1	10	776
2	15	737
3	20	745
4	24	724
5	29	706
6	34	699
7	38	686
8	43	676
9	47	665
10	52	658
11	56	654
12	61	645
13	66	647
14	71	643
15	76	640
16	81	634
17	85	629
18	92	637
19	98	640
20	103	632
21	107	625
22	112	620
23	117	616
24	122	611
25	126	604
26	131	597
27	136	593
28	140	587
29	145	582
30	150	578
31	155	573
32	159	566
33	164	560
34	168	554
35	173	548
36	177	542
37	182	536
38	189	540
39	195	536
40	200	533
41	207	534
42	213	531
43	219	529
44	225	526
45	232	525
46	237	519
47	241	513
48	246	508
49	251	502
50	256	497
51	260	491
52	265	485
53	269	479
54	273	473
55	278	467
56	288	469
57	292	464
58	297	459
59	302	453
60	306	447
61	311	442
62	316	436
63	320	431
64	325	425
65	330	420
66	334	414
67	339	408
68	343	403
69	348	398
70	352	392
71	357	387
72	363	383
73	369	379
74	373	373
75	383	373
76	388	368
77	393	363
78	399	358
79	405	354
80	410	349
81	417	345
82	422	341
83	429	337
84	434	332
85	441	328
86	446	323
87	451	318
88	456	312
89	460	307
90	465	301
91	469	296
92	473	290
93	482	287
94	487	282
95	492	276
96	496	271
97	501	266
98	506	260
99	510	255
100	515	249
101	519	244
102	524	239
103	528	233
104	532	228
105	537	223
106	542	217
107	546	212
108	551	207
109	555	202
110	560	196
111	564	191
112	569	186
113	576	181
114	582	177
115	587	172
116	591	166
117	597	162
118	603	157
119	608	152
120	614	147
121	619	142
122	625	137
123	632	132
124	638	127
125	643	122
126	649	117
127	656	112
128	663	107
129	669	103
130	675	98
131	681	92
132	686	87
133	691	82
134	696	77
135	701	72
136	706	67
137	711	61
138	716	56
139	720	51
140	725	46
141	730	41
142	734	35
143	738	30
144	743	25
145	748	20
146	752	15
147	756	10
148	761	5
149	767	0
