iter	Accuracy	Logloss
0	0.9147563275	0.6358079255
1	0.9146708059	0.5842141041
2	0.9146879102	0.5391659995
3	0.9146280451	0.5035592822
4	0.9146921863	0.4700339692
5	0.9148290209	0.439902424
6	0.9149444751	0.4149406688
7	0.915042825	0.3931030722
8	0.9151368987	0.3747887167
9	0.9149188186	0.3578916155
10	0.9151112422	0.3423388856
11	0.9151112422	0.3300682767
12	0.9151753835	0.3195510577
13	0.9152480768	0.3097541304
14	0.9153207702	0.301659236
15	0.9151796595	0.2961045021
16	0.9152010399	0.2888994945
17	0.9152737333	0.2829350059
18	0.9153293224	0.2778795334
19	0.9154191201	0.2732928341
20	0.9153507028	0.2691942443
21	0.915307942	0.264790508
22	0.9152438008	0.2626118829
23	0.9152138682	0.2588514319
24	0.9152266964	0.2561946213
25	0.9153335985	0.2537471814
26	0.9153507028	0.251686762
27	0.9153421506	0.2496477927
28	0.9154405005	0.2476365862
29	0.9154490526	0.2455436072
30	0.9154875374	0.2434496631
31	0.9156029915	0.2422169074
32	0.9156115437	0.2408551977
33	0.9156414763	0.2400165074
34	0.9155858872	0.2389157165
35	0.9156329241	0.2380786682
36	0.9156970653	0.236847186
37	0.9157398261	0.2360039035
38	0.915786863	0.235205013
39	0.9157740348	0.2346692764
40	0.9157783109	0.2339156363
41	0.9158253478	0.2331780779
42	0.9158638325	0.2327062818
43	0.9158809368	0.232133848
44	0.9159707345	0.2317872376
45	0.9160134953	0.2314911137
46	0.9160134953	0.2309814458
47	0.9160562561	0.2306447131
48	0.9160605322	0.2301627408
49	0.9160690844	0.2299108109
50	0.9160776365	0.2295491484
51	0.9161417777	0.2293114317
52	0.9161802625	0.2288163725
53	0.916210195	0.2286478263
54	0.9161888146	0.2284465063
55	0.916210195	0.228027992
56	0.9162187472	0.2278534786
57	0.9162786123	0.227635969
58	0.9162657841	0.227404192
59	0.9162957166	0.2271116517
60	0.9163085449	0.2269795796
61	0.9163427535	0.2268132359
62	0.9163897904	0.2265415905
63	0.9164282752	0.2263894602
64	0.9164539316	0.2262627285
65	0.9164966925	0.2261629259
66	0.9165180729	0.2258393817
67	0.9165693858	0.2257126048
68	0.9165864902	0.2255964629
69	0.916629251	0.2254834783
70	0.916633527	0.2253857594
71	0.9166506314	0.2252384672
72	0.9166463553	0.225135165
73	0.9166976683	0.2249275128
74	0.9166976683	0.2248366679
75	0.9167489812	0.2247284967
76	0.9167575334	0.2246549899
77	0.916843055	0.2245562394
78	0.9168729876	0.2243967499
79	0.916894368	0.2242995865
80	0.9168516072	0.2241781426
81	0.9168772637	0.2240984835
82	0.916894368	0.2239952774
83	0.9169285766	0.2238630602
84	0.9170226504	0.2237836636
85	0.9170226504	0.2236698512
86	0.9170312026	0.2235979018
87	0.9170140982	0.2235220094
88	0.9170825155	0.2234085445
89	0.917108172	0.2233348585
90	0.9171167242	0.223269582
91	0.9171124481	0.2231275426
92	0.9171338285	0.2230500776
93	0.917159485	0.2229583504
94	0.9171680372	0.2228814814
95	0.9171765893	0.2228226859
96	0.9171509328	0.2227666332
97	0.9171936936	0.2226761391
98	0.9171979697	0.2226293539
99	0.9172065219	0.2225824638
100	0.9172749392	0.2225074091
101	0.9172792153	0.2224325989
102	0.9173091478	0.2223320791
103	0.917369013	0.2222657708
104	0.9174074977	0.2222082095
105	0.9174032216	0.2221284619
106	0.9174417063	0.2220540286
107	0.9174887432	0.2220042596
108	0.9175058475	0.2219499888
109	0.9175229519	0.2219054628
110	0.9175443323	0.2218535816
111	0.917582817	0.2217883833
112	0.9176298539	0.2217350068
113	0.9176683386	0.2216691769
114	0.9176726147	0.2215945032
115	0.9177025473	0.2215475059
116	0.9177153755	0.221485887
117	0.9177239277	0.2214106117
118	0.9177367559	0.2213652558
119	0.9177453081	0.221312421
120	0.9177581363	0.2212477347
121	0.9177538602	0.2211966275
122	0.9177666885	0.2211272766
123	0.9177795167	0.2210680034
124	0.9177880689	0.2210096054
125	0.9177666885	0.2209484867
126	0.9177709646	0.2208975093
127	0.9178180014	0.220838417
128	0.9178222775	0.2207810173
129	0.9178137254	0.2207271995
130	0.9178222775	0.2206924873
131	0.9178393818	0.2206260087
132	0.9178778666	0.2205739571
133	0.9178864187	0.2205357643
134	0.9179163513	0.2204774438
135	0.9179249035	0.2204235913
136	0.9179206274	0.2203683299
137	0.9179719404	0.2203122492
138	0.9179847686	0.2202437398
139	0.9179719404	0.2201950399
140	0.9179890447	0.2201584212
141	0.9179890447	0.2200928286
142	0.9180104251	0.2200398636
143	0.9180702902	0.2200135658
144	0.9181173271	0.2199517967
145	0.9181857444	0.219896017
146	0.9181985726	0.219846193
147	0.9181900205	0.2197726926
148	0.9181900205	0.219728804
149	0.9182028487	0.2196867651
150	0.9182071248	0.2196295192
151	0.9182370574	0.2195849085
152	0.9182627139	0.2195380436
153	0.9182755421	0.2194969214
154	0.9182669899	0.219458079
155	0.9183011986	0.2194090657
156	0.918322579	0.2193759655
157	0.9183696159	0.219314361
158	0.9183653398	0.2192656692
159	0.9184166528	0.2192243521
160	0.9184423093	0.2191684159
161	0.9185021744	0.2191246343
162	0.9184893461	0.2190732566
163	0.9185235548	0.2190259066
164	0.9185150026	0.2189846454
