iter	Passed	Remaining
0	87	17375
1	159	15787
2	215	14154
3	266	13055
4	334	13043
5	386	12506
6	441	12174
7	494	11857
8	557	11834
9	628	11946
10	683	11747
11	745	11672
12	816	11751
13	882	11722
14	944	11648
15	981	11284
16	1049	11292
17	1113	11256
18	1182	11261
19	1241	11173
20	1310	11170
21	1366	11052
22	1401	10787
23	1457	10686
24	1520	10645
25	1603	10734
26	1699	10889
27	1786	10971
28	1876	11065
29	1953	11072
30	2036	11104
31	2093	10993
32	2150	10883
33	2208	10783
34	2268	10693
35	2326	10599
36	2390	10528
37	2452	10455
38	2528	10438
39	2587	10349
40	2640	10241
41	2700	10157
42	2775	10132
43	2830	10035
44	2886	9942
45	2944	9857
46	3018	9827
47	3089	9782
48	3149	9705
49	3203	9611
50	3269	9552
51	3326	9466
52	3378	9369
53	3431	9276
54	3504	9239
55	3560	9154
56	3616	9072
57	3672	8990
58	3732	8919
59	3782	8825
60	3837	8744
61	3894	8667
62	3953	8597
63	4012	8525
64	4066	8444
65	4120	8365
66	4181	8300
67	4235	8221
68	4297	8159
69	4381	8137
70	4471	8124
71	4550	8090
72	4646	8084
73	4705	8012
74	4758	7930
75	4813	7852
76	4874	7787
77	4932	7715
78	4984	7634
79	5041	7561
80	5102	7496
81	5157	7422
82	5212	7347
83	5264	7269
84	5324	7204
85	5382	7134
86	5437	7062
87	5492	6991
88	5560	6934
89	5616	6864
90	5670	6791
91	5722	6717
92	5784	6654
93	5857	6605
94	5920	6543
95	5975	6473
96	6041	6414
97	6095	6343
98	6147	6272
99	6202	6202
100	6268	6144
101	6322	6074
102	6373	6002
103	6454	5958
104	6547	5923
105	6617	5868
106	6671	5798
107	6725	5729
108	6791	5670
109	6857	5610
110	6918	5547
111	7017	5513
112	7117	5480
113	7201	5432
114	7288	5387
115	7354	5325
116	7407	5254
117	7458	5183
118	7523	5120
119	7600	5067
120	7685	5017
121	7774	4970
122	7835	4904
123	7890	4835
124	7943	4765
125	8030	4716
126	8130	4673
127	8190	4607
128	8252	4542
129	8311	4475
130	8365	4406
131	8419	4337
132	8484	4273
133	8536	4204
134	8592	4137
135	8649	4070
136	8710	4005
137	8766	3938
138	8819	3870
139	8874	3803
140	8935	3738
141	8992	3672
142	9044	3605
143	9098	3538
144	9162	3475
145	9217	3409
146	9269	3342
147	9320	3274
148	9378	3210
149	9435	3145
150	9488	3079
151	9541	3013
152	9600	2949
153	9658	2884
154	9711	2819
155	9765	2754
156	9825	2691
157	9880	2626
158	9934	2561
159	9991	2497
160	10051	2434
161	10106	2370
162	10161	2306
163	10214	2242
164	10271	2178
165	10330	2115
166	10389	2052
167	10446	1989
168	10537	1932
169	10599	1870
170	10669	1809
171	10722	1745
172	10783	1682
173	10849	1621
174	10912	1558
175	10997	1499
176	11055	1436
177	11109	1373
178	11165	1309
179	11224	1247
180	11277	1183
181	11338	1121
182	11393	1058
183	11457	996
184	11509	933
185	11564	870
186	11617	807
187	11691	746
188	11750	683
189	11809	621
190	11871	559
191	11939	497
192	12000	435
193	12058	372
194	12120	310
195	12191	248
196	12249	186
197	12320	124
198	12378	62
199	12441	0
