iter	MAE	RMSE
0	0.386307821	0.4751864261
1	0.3759138838	0.4649257249
2	0.3659241802	0.4528666925
3	0.3570488547	0.4413897659
4	0.345636492	0.4295847982
5	0.3365914363	0.4175944224
6	0.3267904905	0.4061806495
7	0.3174417946	0.3959421284
8	0.3085702459	0.3859053195
9	0.3001076525	0.3756556526
10	0.292890056	0.3674040987
11	0.2843409466	0.35753413
12	0.2769089396	0.3486084915
13	0.2703067238	0.3407740143
14	0.2636674586	0.3324478332
15	0.2569691847	0.3244275554
16	0.2496244087	0.3160096499
17	0.2430495918	0.3079487127
18	0.2384839664	0.3019068035
19	0.2321201629	0.2948237205
20	0.2259001114	0.287778833
21	0.2207120863	0.2811877178
22	0.2151801904	0.2741560946
23	0.2097787252	0.2679308389
24	0.2050959931	0.2627059957
25	0.2011617308	0.2579438323
26	0.1970060298	0.2525100476
27	0.1934086494	0.2483057276
28	0.1897350354	0.2435806518
29	0.186391795	0.2395524996
30	0.1825212818	0.2350615923
31	0.1798561586	0.2314371201
32	0.1768220716	0.2272145417
33	0.1735351058	0.2227250661
34	0.1709897258	0.2186887526
35	0.1681016505	0.2147423033
36	0.165904505	0.2117781814
37	0.1635402296	0.2088398651
38	0.1607077183	0.204986391
39	0.1581427448	0.2014745487
40	0.1561625247	0.1989008486
41	0.1535446347	0.1956255447
42	0.1522800516	0.193613251
43	0.1501571347	0.1909000738
44	0.1485197625	0.1885418025
45	0.1468422081	0.1859943544
46	0.1449236185	0.1834088486
47	0.1430725526	0.1810505113
48	0.1414056276	0.1787581619
49	0.1393860495	0.176153903
50	0.1380610898	0.1741691954
51	0.1365261172	0.1719624519
52	0.1351317669	0.1700533688
53	0.133848086	0.1682804285
54	0.132651344	0.1666395988
55	0.1311917319	0.1644859934
56	0.1302329401	0.1629249978
57	0.128883641	0.1610896501
58	0.1274280726	0.1590729541
59	0.1266464816	0.1578173539
60	0.1255853536	0.1562496732
61	0.1244176874	0.1548282695
62	0.1231100635	0.1531783425
63	0.1219670371	0.1517165491
64	0.1209740603	0.1505322213
65	0.1201626324	0.1493227313
66	0.1193893065	0.1482906693
67	0.1188247353	0.1473801466
68	0.1179337275	0.1461973305
69	0.1169848873	0.1449249375
70	0.1162470759	0.1440282319
71	0.1154800398	0.1430722261
72	0.1148067506	0.1421427638
73	0.1139524316	0.1411574891
74	0.1131109113	0.140198867
75	0.1125993536	0.1395342856
