iter	Passed	Remaining
0	50	407191
1	52	210927
2	56	149839
3	58	116039
4	59	95795
5	61	82049
6	63	72255
7	64	64893
8	66	59206
9	68	54370
10	69	50602
11	71	47553
12	73	44924
13	75	42978
14	77	41044
15	78	39299
16	80	37761
17	82	36401
18	83	35029
19	85	33983
20	86	32993
21	88	32083
22	90	31235
23	91	30488
24	93	29848
25	95	29183
26	96	28598
27	98	28048
28	100	27514
29	102	27193
30	104	26750
31	105	26326
32	107	25941
33	109	25579
34	109	25027
35	111	24676
36	113	24394
37	114	24076
38	116	23748
39	117	23460
40	119	23186
41	121	22928
42	121	22571
43	123	22342
44	125	22113
45	126	21837
46	128	21665
47	129	21467
48	131	21276
49	132	21093
50	134	20908
51	135	20746
52	137	20581
53	138	20333
54	139	20216
55	141	20003
56	142	19887
57	144	19775
58	146	19659
59	147	19535
60	148	19304
61	149	19180
62	151	19076
63	153	18973
64	154	18876
65	156	18762
66	158	18716
67	160	18699
68	162	18626
69	163	18532
70	165	18446
71	166	18373
72	168	18290
73	170	18210
74	171	18138
75	173	18100
76	174	17994
77	176	17907
78	177	17831
79	178	17699
80	180	17624
81	181	17560
82	183	17501
83	185	17499
84	187	17440
85	188	17382
86	190	17330
87	192	17269
88	193	17209
89	195	17148
90	196	17106
91	198	17054
92	199	16998
93	201	16952
94	203	16930
95	205	16888
96	206	16839
97	208	16806
98	209	16759
99	210	16626
100	212	16581
101	214	16596
102	216	16567
103	217	16540
104	219	16530
105	221	16499
106	223	16460
107	224	16425
108	226	16394
109	228	16354
110	229	16314
111	233	16418
112	235	16436
113	237	16452
114	238	16385
115	240	16359
116	242	16334
117	244	16310
118	245	16286
119	247	16278
120	249	16274
121	252	16273
122	253	16265
123	255	16256
124	258	16290
125	260	16286
126	263	16318
127	267	16429
128	269	16462
129	271	16449
130	273	16448
131	275	16423
132	277	16424
133	280	16440
134	282	16462
135	284	16432
136	285	16397
137	287	16366
138	288	16335
139	290	16304
140	291	16272
141	295	16332
142	299	16459
143	301	16472
144	304	16468
145	305	16454
146	308	16455
147	309	16429
148	311	16405
149	312	16375
150	314	16343
151	316	16316
152	317	16291
153	319	16265
154	320	16233
155	322	16220
156	324	16192
157	325	16165
158	327	16141
159	328	16117
160	330	16094
161	332	16071
162	333	16049
163	335	16025
164	336	16001
165	338	15978
166	340	15953
167	341	15937
168	343	15907
169	344	15885
170	346	15860
171	348	15852
