iter	MAE	RMSE
0	57148.77434	78977.73953
1	55391.13164	76622.67914
2	53567.07881	74289.14868
3	52065.56463	72525.14704
4	50541.99067	70501.54101
5	49116.32665	68673.99663
6	47440.70619	66568.32706
7	45846.7643	64702.78813
8	44456.63341	63002.54243
9	43415.29673	61668.30474
10	42090.72605	60002.65676
11	40991.04455	58661.77712
12	39742.10595	57225.96642
13	38575.73371	55764.43948
14	37812.26428	54835.90709
15	36661.20033	53453.35236
16	35757.49144	52367.71586
17	34751.44187	51124.37031
18	33855.01785	49929.57423
19	32915.92725	48778.10798
20	32208.53159	47835.34382
21	31407.89368	46818.29199
22	30562.605	45750.52603
23	29888.16626	44947.49132
24	29104.0753	43966.79453
25	28504.96184	43159.70488
26	27869.70582	42354.69562
27	27322.61664	41626.82339
28	26695.87701	40787.42806
29	26124.73629	40004.14891
30	25546.82699	39252.7079
31	25026.16588	38501.90274
32	24511.00905	37779.84683
33	24006.25199	37123.10928
34	23548.61123	36513.12469
35	23052.90642	35860.16313
36	22595.49989	35197.66825
37	22205.63345	34695.38434
38	21836.69228	34175.22466
39	21400.82382	33567.41507
40	21047.27598	33023.38191
41	20716.19881	32523.06471
42	20340.87175	31954.66085
43	19997.71368	31451.84538
44	19696.71211	30999.17312
45	19386.45987	30492.1011
46	19091.42632	30009.32694
47	18786.52699	29540.4989
48	18525.84555	29139.43921
49	18274.62903	28745.75598
50	18026.16461	28348.43727
51	17746.28763	27833.51575
52	17502.77986	27406.21261
53	17276.93592	27037.42562
54	17077.41653	26690.71772
55	16852.97309	26304.99777
56	16654.46365	25948.73645
57	16442.61052	25572.3194
58	16260.01151	25219.41829
59	16045.39583	24846.99733
60	15832.0477	24475.10484
61	15666.6515	24155.17338
62	15500.94174	23849.04634
63	15326.87442	23560.65518
64	15147.40886	23239.52109
65	14991.16067	22964.33384
66	14824.36091	22634.08769
67	14693.76449	22397.25146
68	14535.63717	22113.68905
69	14351.1329	21807.34098
70	14203.50665	21553.12832
71	14076.19231	21319.82612
72	13930.23636	21066.78226
73	13798.8246	20824.50107
74	13660.12223	20597.60575
75	13505.9861	20322.46922
76	13407.06107	20128.75903
77	13277.0261	19917.51599
78	13157.888	19712.707
79	13033.8317	19482.84501
80	12929.1667	19281.35189
81	12803.51408	19070.96781
82	12693.2899	18858.98129
83	12577.60203	18647.67641
84	12489.20637	18485.27623
85	12369.31946	18287.16925
86	12259.12008	18093.64149
87	12152.97983	17904.55937
88	12055.30406	17711.01669
89	11945.13881	17526.06569
90	11842.51671	17356.61225
91	11757.69341	17199.07499
92	11651.08031	17024.80061
93	11550.63034	16860.28487
94	11431.48574	16666.95921
95	11340.83701	16504.11815
96	11229.5521	16322.05085
97	11145.33084	16173.85054
98	11040.75138	16000.07267
99	10956.28876	15862.52058
100	10863.29299	15707.79862
101	10787.58457	15567.16474
102	10682.65349	15392.92812
103	10581.48782	15236.88007
104	10485.94547	15078.91346
105	10396.97671	14930.04675
106	10335.35023	14806.7624
107	10239.20951	14658.79366
108	10163.82886	14517.7923
109	10092.86663	14392.12833
110	9999.863263	14251.97082
111	9913.072759	14112.28579
112	9840.533083	13982.1682
113	9755.7071	13852.73594
114	9686.253003	13738.24423
115	9615.171288	13615.43902
116	9547.793515	13508.58732
117	9486.184944	13399.70941
118	9434.611011	13306.98949
119	9359.82776	13188.52225
120	9293.114678	13077.40826
121	9249.158167	12993.3355
122	9196.397999	12896.70919
123	9155.768414	12821.11789
124	9097.295705	12724.10201
125	9021.645586	12608.03542
126	8966.862749	12510.58772
127	8922.767204	12436.9874
128	8854.898241	12324.02569
129	8795.699503	12224.94989
130	8716.492957	12108.15554
131	8647.985825	12009.67868
132	8574.56432	11899.24337
133	8494.597604	11783.12919
134	8439.346025	11692.08764
135	8372.101968	11586.93799
136	8303.679416	11483.02362
137	8239.605701	11384.06241
138	8182.904494	11292.89641
139	8144.033325	11228.02004
140	8084.589925	11130.91429
141	8007.77086	11016.47266
142	7924.057577	10896.85834
143	7858.897567	10801.52716
144	7803.912137	10714.56706
145	7748.281996	10631.65493
146	7700.241085	10551.79177
147	7640.103074	10461.23706
148	7589.002897	10380.68897
149	7533.38871	10296.05747
150	7463.280657	10194.18751
151	7407.98528	10119.52874
152	7350.774371	10031.90641
153	7308.595783	9969.47949
154	7263.97761	9896.259607
155	7199.557657	9803.162076
156	7137.331877	9712.819927
157	7086.272138	9630.58768
158	7022.480739	9537.236761
159	6955.242743	9441.959749
160	6902.526633	9363.059951
161	6842.549085	9275.283828
162	6791.316082	9195.857951
163	6738.074916	9114.214537
164	6682.457504	9029.911055
165	6637.486749	8958.488405
166	6572.041587	8868.581483
167	6519.330398	8791.333583
168	6470.072355	8720.208408
169	6429.691854	8657.641681
170	6363.646856	8564.243614
171	6330.369151	8507.749891
172	6288.862528	8445.47576
173	6246.301534	8385.314436
174	6200.495732	8322.244614
175	6150.526683	8252.732858
176	6103.932912	8185.648085
177	6061.349045	8118.522591
178	6019.954872	8056.239191
179	5984.756387	8001.677065
180	5941.569085	7936.814742
181	5907.670029	7886.456594
182	5867.021286	7831.717461
183	5828.434341	7774.537988
184	5783.76308	7708.343679
185	5752.085542	7661.719337
186	5727.230354	7622.674771
187	5697.920518	7578.348144
188	5663.128863	7530.375815
189	5620.907352	7471.846113
190	5581.846025	7415.126234
191	5544.69292	7362.381498
192	5506.433342	7309.965256
193	5470.984127	7261.007875
194	5439.4874	7215.743363
195	5395.518099	7154.02374
196	5377.046729	7125.783574
197	5344.784272	7082.699427
198	5305.895881	7028.53248
199	5276.400758	6985.984996
200	5242.322094	6938.435149
201	5206.375881	6890.944817
202	5177.697639	6848.482735
203	5148.252817	6805.854965
204	5116.649963	6764.806742
205	5086.671908	6724.076562
206	5054.344163	6678.563926
207	5021.865616	6633.589029
208	4993.586997	6593.483287
209	4953.971953	6538.292015
210	4921.337766	6493.475957
211	4890.282579	6449.42627
212	4861.136261	6409.928937
213	4834.217122	6375.549406
214	4797.839892	6322.060008
215	4762.577626	6274.687058
216	4728.821045	6230.212665
217	4693.654485	6188.102124
218	4658.395088	6141.480075
219	4629.202359	6100.840228
220	4600.494106	6060.948509
221	4565.62698	6015.398966
222	4534.369742	5973.085692
223	4498.206758	5928.265023
224	4468.766982	5887.902249
225	4432.426085	5840.110778
226	4397.643032	5794.33717
227	4363.032638	5749.70561
228	4335.540222	5711.728058
229	4310.62011	5677.487132
230	4285.381077	5643.952041
231	4258.789813	5606.683678
232	4218.75136	5553.621789
233	4188.413874	5516.244027
234	4161.015418	5479.861818
235	4135.203042	5446.150668
236	4108.768858	5408.803803
237	4082.932656	5374.602334
238	4064.758111	5347.744699
239	4034.228631	5307.574701
240	4006.026751	5269.803191
241	3968.190909	5221.46807
242	3946.914503	5193.522549
243	3920.600552	5159.538497
244	3886.997406	5115.37042
245	3857.86765	5078.71716
246	3833.046594	5042.900512
247	3810.855235	5016.055375
248	3789.387677	4988.224117
249	3753.790423	4939.952997
250	3729.907521	4908.982893
251	3700.399894	4869.12043
252	3669.922549	4828.595076
253	3644.913112	4796.999859
254	3625.609233	4771.688936
255	3606.694483	4747.031115
256	3584.404336	4717.7628
257	3557.125142	4681.995689
258	3543.031132	4663.33189
259	3523.726624	4636.533755
260	3511.154036	4619.013946
261	3497.404825	4600.826214
262	3465.458002	4557.445031
263	3444.45236	4530.2925
264	3422.575057	4499.867863
265	3396.014421	4466.301802
266	3373.375514	4436.822085
267	3348.011987	4403.394139
268	3319.124979	4364.037375
269	3293.602775	4330.524742
270	3279.147838	4311.478631
271	3261.522736	4289.547737
272	3246.470892	4269.201211
273	3224.641647	4240.729246
274	3210.704635	4222.43782
275	3192.260554	4197.416976
276	3168.837883	4167.240652
277	3146.09656	4136.334243
278	3122.871744	4105.381286
279	3090.966186	4063.187267
280	3071.440257	4037.088897
281	3047.08598	4005.326535
282	3027.99972	3978.721145
283	2998.626011	3938.562848
284	2982.413892	3918.244051
285	2953.407333	3881.167634
286	2929.239348	3850.510791
287	2914.576555	3829.55568
288	2903.851273	3814.241044
289	2886.348916	3792.534327
290	2868.43467	3767.554571
291	2847.291373	3740.540504
292	2825.80151	3712.915922
293	2806.130306	3686.912909
294	2785.880272	3660.196422
295	2769.821568	3640.122751
296	2750.757199	3615.285929
297	2732.660364	3592.32563
298	2715.338218	3570.405362
299	2692.462518	3540.730963
300	2681.608602	3527.549892
301	2665.591532	3507.436714
302	2644.661417	3480.14626
303	2628.210278	3458.318865
304	2620.151528	3446.476388
305	2597.935168	3416.231075
306	2581.638539	3392.948007
307	2561.465112	3365.582749
308	2540.01922	3338.430093
309	2516.354441	3308.184138
310	2495.949322	3282.493162
311	2479.808239	3262.727122
312	2463.018488	3240.866986
313	2443.275066	3215.426722
314	2419.392568	3184.735097
315	2404.89029	3167.107789
316	2385.460286	3141.346357
317	2363.051818	3112.292305
318	2353.720541	3100.580474
319	2332.361211	3074.641969
320	2316.788948	3055.402092
321	2301.987154	3037.500811
322	2284.294435	3014.932038
323	2282.223771	3011.669663
324	2275.45958	3002.533138
325	2259.29711	2982.931507
326	2245.324329	2965.326208
327	2234.668652	2951.396041
328	2217.760869	2929.227864
329	2208.179049	2917.093308
330	2195.388547	2900.837932
331	2190.633861	2893.854148
332	2178.802128	2878.828789
333	2157.842392	2851.889214
334	2147.349381	2839.333802
335	2128.425197	2815.641416
336	2115.576336	2799.009863
337	2108.118248	2788.459317
338	2091.200464	2766.352631
339	2077.583402	2747.643866
340	2061.815721	2728.052738
341	2049.345263	2712.872851
342	2038.878619	2699.050708
343	2033.776021	2692.423246
344	2014.953333	2668.641585
345	1997.877716	2646.431977
346	1979.321532	2621.417385
347	1966.195093	2604.908491
348	1950.166874	2584.602049
349	1935.166459	2565.773382
350	1923.257347	2549.917828
351	1907.329845	2529.306646
352	1894.07581	2513.208543
353	1880.278875	2495.805945
354	1864.837424	2475.360875
355	1849.083177	2455.799204
356	1840.289473	2445.406953
357	1823.07789	2423.20857
358	1814.949054	2413.620824
359	1806.838886	2401.297436
360	1798.713739	2390.53173
361	1788.426231	2377.875962
362	1774.673249	2361.326552
363	1763.939595	2346.576108
364	1752.427084	2332.984964
365	1740.160649	2317.769748
366	1731.261145	2306.753345
367	1726.962109	2301.587271
368	1715.165189	2285.903083
369	1702.304059	2268.340576
370	1689.354644	2251.592758
371	1676.138682	2235.632416
372	1665.494047	2221.89482
373	1659.15053	2213.358453
374	1646.367392	2197.368772
375	1643.529527	2192.766601
376	1634.908275	2182.050729
377	1621.023425	2164.951327
378	1614.145062	2155.890232
379	1603.897113	2142.760812
380	1594.610857	2129.90975
381	1587.228433	2121.097144
382	1574.830529	2104.635666
383	1567.454434	2094.167362
384	1562.144734	2087.312246
385	1552.712703	2074.656525
386	1547.756945	2067.614512
387	1537.77507	2054.281053
388	1530.442286	2045.125702
389	1516.999918	2028.213994
390	1513.622609	2023.689955
391	1505.604321	2013.146629
392	1498.714547	2004.611859
393	1492.343618	1996.736726
394	1483.085784	1984.25387
395	1478.0546	1977.201788
396	1472.55393	1969.99747
397	1460.039171	1954.349623
398	1450.94964	1943.182308
399	1444.578409	1935.262065
400	1442.84159	1932.89239
401	1435.45718	1922.970364
402	1423.870341	1908.121007
403	1415.186133	1896.395159
404	1404.908416	1882.91651
405	1402.35561	1878.841525
406	1394.020334	1868.723041
407	1390.252017	1863.703419
408	1388.724472	1861.481326
409	1383.523853	1855.348238
410	1375.138348	1843.46814
411	1369.131137	1835.848984
412	1364.030945	1828.551447
413	1355.433344	1818.032028
414	1347.831029	1807.482054
415	1344.270141	1802.50737
416	1334.991486	1790.344388
417	1324.469003	1777.151046
418	1321.817771	1774.484063
419	1315.066621	1765.900637
420	1307.320639	1755.564511
421	1305.909337	1753.91383
422	1297.685741	1743.974532
423	1296.223159	1741.805379
424	1289.951014	1732.830448
425	1280.413329	1718.781066
426	1275.251191	1712.724036
427	1268.12006	1704.382642
428	1261.943462	1695.595473
429	1253.282341	1684.256439
430	1244.777932	1672.822192
431	1243.234361	1670.725455
432	1234.156463	1659.217998
433	1226.762743	1650.145747
434	1222.436836	1644.568308
435	1214.254291	1634.181413
436	1213.726382	1633.342198
437	1209.264049	1627.429243
438	1207.500044	1625.29866
439	1198.708418	1614.373193
440	1188.954423	1601.944557
441	1182.176969	1593.838562
442	1175.498576	1584.953023
443	1171.8188	1580.409262
444	1164.345415	1569.772808
445	1161.514076	1565.638111
446	1156.697489	1558.898285
447	1155.052794	1556.201772
448	1144.643006	1543.447147
449	1137.460342	1534.90118
450	1130.280646	1526.382585
451	1119.706224	1513.672263
452	1114.035929	1505.700097
453	1111.162282	1501.187589
454	1110.203623	1499.679197
455	1105.445867	1492.287892
456	1101.574069	1487.756064
457	1095.273446	1480.038682
458	1085.372211	1468.124544
459	1078.368947	1458.94223
460	1073.659126	1453.945083
461	1072.777852	1452.997988
462	1068.890821	1448.052824
463	1061.467362	1439.004607
464	1053.235608	1429.062881
465	1048.187596	1421.507745
466	1041.978717	1412.795871
467	1035.282387	1404.502936
468	1028.072239	1395.169438
469	1024.994971	1390.254736
470	1019.321612	1382.957832
471	1013.030277	1373.966897
472	1004.264266	1362.85257
473	999.6208715	1356.684395
474	999.025173	1355.810028
475	993.1637948	1348.116957
476	986.6844814	1338.781631
477	979.7197275	1330.424485
478	972.7758948	1322.088085
479	966.5986545	1314.386564
480	958.6081298	1304.419697
481	949.2989119	1293.02407
482	941.8938316	1283.807073
483	934.0605459	1273.591286
484	927.5272308	1265.790505
485	922.4158135	1259.753791
486	915.6269282	1251.507755
487	907.7970071	1242.192362
488	902.7897739	1235.920095
489	897.7002885	1229.721091
490	891.9147	1221.60712
491	887.4431075	1215.423152
492	881.1801388	1207.977522
493	877.3724864	1203.507679
494	874.9804345	1200.283558
495	873.7477327	1197.868998
496	872.3762419	1195.373204
497	867.197406	1189.247265
498	859.4955728	1179.066936
499	854.783696	1173.175263
500	847.6786742	1164.047923
501	841.6814696	1156.132616
502	837.2617747	1150.671411
503	833.29849	1145.466122
504	828.1709095	1139.139908
505	823.6428628	1133.385913
506	817.4144067	1126.032909
507	811.0442373	1117.643018
508	806.7274839	1111.527069
509	803.5312759	1107.834269
510	798.9198839	1101.087319
511	795.2190525	1096.47351
512	791.3751825	1090.958822
513	787.7342815	1086.552943
514	781.5063473	1078.144477
515	774.0764604	1068.077206
516	768.6526335	1060.553466
517	762.4723067	1052.669205
518	758.118598	1047.624825
519	751.783017	1039.614413
520	748.2916267	1035.578114
521	744.0191718	1029.896857
522	739.1789678	1024.166815
523	734.729889	1018.665039
524	731.0936544	1014.352336
525	725.623	1007.588764
526	720.4839819	1001.489005
527	716.0159006	996.1318537
528	710.8186274	989.7867933
529	704.9511786	982.6180825
530	701.4049461	978.3394571
531	698.9663792	975.5600045
532	694.3360729	969.9147824
533	690.4791126	964.5348759
534	685.4093001	957.7538538
535	682.2596197	953.2988292
536	677.2596605	947.5617405
537	673.931121	942.6822133
538	668.3050033	935.9693505
539	662.9233818	929.4976428
540	661.5012574	927.1229839
541	656.9796463	921.1326783
542	652.115521	915.4223395
543	647.9494854	910.3888331
544	643.0827064	904.737391
545	642.6300544	904.2334629
546	641.131531	902.4548725
547	638.1198545	898.6972027
548	633.7735659	893.494781
549	630.3393628	888.8379744
550	628.6679336	886.8934007
551	623.4177906	880.5468591
552	620.7482331	876.4143982
553	617.1988928	872.291539
554	612.3473275	866.5357103
555	608.6303943	861.3450239
556	607.7097645	860.0370057
557	604.9114037	856.274569
558	602.2594486	852.6034683
559	601.0770047	850.5599136
560	600.2524657	848.9238215
561	597.5269404	844.9351039
562	595.8188328	842.2317829
563	593.0138812	839.0839219
564	588.8591375	834.0950843
565	584.6734223	829.391248
566	582.4469336	826.8690441
567	579.902812	823.2893584
568	577.7158599	820.520267
569	573.1945766	815.0987639
570	571.1929795	812.7847044
571	567.2475504	807.3015372
572	564.2637444	803.7510619
573	560.6554166	799.5239446
574	559.6987834	797.6407231
575	556.1662922	793.088828
576	554.5663406	791.0632735
577	550.8425156	785.9793318
578	549.0780758	783.7027702
579	548.0855448	782.4629167
580	543.9796703	777.8894538
581	541.9599134	774.7436663
582	541.7728781	774.5707014
583	540.5562575	772.8052325
584	536.4117888	767.9920588
585	534.0906018	765.0845213
586	530.4592711	760.8730679
587	527.1016445	756.9900459
588	526.9947926	756.8859753
589	523.9365519	753.3546163
590	522.1449475	750.5164288
591	518.3658491	745.7264849
592	514.6097567	741.1108184
593	511.5398149	736.5813294
594	508.1443118	731.797039
595	507.8781049	731.5084921
596	503.7967557	726.8050214
597	501.1761117	722.8674187
598	498.7266209	719.8883802
599	495.9193688	715.8221119
600	491.8122515	710.973624
601	489.2453245	707.9343421
602	487.5864901	705.9301594
603	487.3080052	705.6179298
604	483.1945419	700.778226
605	480.0153513	696.8801961
606	477.2728464	692.8903888
607	474.8508514	690.0837867
608	471.560827	686.3722795
609	467.5179761	681.5535651
610	465.5857798	678.5501411
611	463.5379964	675.547913
612	460.281466	671.6554194
613	457.7019648	668.7486486
614	455.3348138	665.4833018
615	454.423543	664.2634545
616	451.4997876	660.842775
617	449.2746172	657.7295232
618	448.5677271	656.7835453
619	446.2111686	653.8859345
620	442.6845715	649.6648696
621	440.8107311	647.1227023
622	438.4167898	644.3268209
623	437.6971521	642.9798978
624	434.7732169	639.1193091
625	431.2855112	635.1811402
626	430.3003866	633.829855
627	427.5582779	630.0000942
628	424.2075123	626.3378301
629	421.3323624	622.238254
630	418.8933505	619.5697358
631	416.5201657	616.7228576
632	412.9816447	612.6976001
633	412.4051433	611.9409868
634	409.8357751	608.5217199
635	407.3343625	605.7238934
636	404.5726087	602.5320922
637	403.1529131	600.3911402
638	401.9207304	598.9757634
639	399.1361804	595.0580956
640	398.4470538	594.107902
641	398.1081965	593.7814431
642	396.3223039	591.7384509
643	396.0048684	591.2932546
644	394.050114	588.8294618
645	391.3515982	585.2655073
646	391.1559738	585.0291874
647	388.7892281	581.7006034
648	385.7085958	578.2275109
649	383.4776479	575.7800406
650	383.2572997	575.5254847
651	383.1191988	575.4352585
652	380.5229889	572.496044
653	377.2913726	568.8773743
654	375.5799823	567.0389677
655	372.9367095	563.5084836
656	370.9612568	560.7160168
657	368.740749	557.6825397
658	368.6479561	557.5969584
659	366.2145874	555.1898613
660	364.6680949	553.2294323
661	362.6086522	550.3092651
662	361.1773524	548.1635482
663	360.469251	547.3901506
664	360.3373444	547.2445726
665	358.6469906	545.4209115
666	356.8467271	543.4495395
667	356.7228457	543.3290437
668	354.0613072	539.8078206
669	353.4710227	538.720864
670	350.5677591	534.9781723
671	350.1782202	534.5192183
672	347.8102027	531.5565041
673	346.6740396	529.644005
674	346.3460303	529.2722306
675	344.5535391	527.3933051
676	342.2483775	524.4048997
677	341.2239797	523.1508728
678	339.154829	520.584363
679	338.0424665	519.4073871
680	335.1838037	515.9359074
681	333.0008712	513.5318915
682	331.6417823	511.6148158
683	329.306484	509.091376
684	327.1599031	506.2878809
685	325.1232414	504.0786395
686	322.4860726	501.1957846
687	320.461418	498.3916495
688	320.3040938	498.2488071
689	318.7903477	496.5499447
690	316.84404	494.3743955
691	316.6755025	494.2489989
692	314.9507064	492.2948725
693	314.533547	491.861496
694	312.4559316	489.0931392
695	310.5158731	486.6833578
696	310.4371614	486.5992648
697	309.129628	485.3247958
698	308.1167454	484.3118401
699	306.222681	481.6186503
700	304.8707618	480.0001795
701	302.9541933	477.9335476
702	301.4409445	475.8251426
703	300.0848354	474.2777271
704	298.7835717	472.5313987
705	296.8012276	469.9610508
706	295.1449108	467.9020247
707	293.6220293	466.0749767
708	292.2594799	464.631196
709	290.1393281	461.8833247
710	288.9259139	460.0846886
711	286.9234003	457.478983
712	285.5640574	455.4989893
713	283.3623872	452.9917752
714	281.9622818	451.5322664
715	280.4571358	450.0528985
716	279.8620044	449.4127283
717	278.5799406	447.4884324
718	277.2425841	445.7492036
719	275.2847157	443.2967193
720	273.6119746	441.233585
721	272.5490996	440.0387197
722	271.5719225	438.6467987
723	269.2896866	435.8450728
724	267.7757049	434.0807568
725	265.5987914	431.6460946
726	263.4796895	429.4001643
727	261.9320399	427.6571166
728	260.3284107	425.9764387
729	258.4817093	423.8419243
730	257.3265528	422.6208072
731	255.2666119	420.456849
732	253.5549367	418.5510329
733	251.7034984	416.5185965
734	250.1092657	414.8866699
735	248.7069443	413.5260236
736	247.7303529	412.6350867
737	246.3002169	411.2225747
738	244.9521516	409.4612646
739	243.694835	407.6325551
740	242.9252373	406.5447519
741	242.5910421	406.1044215
742	241.8636194	405.1075541
743	239.9173866	403.0392557
744	239.0759683	401.9458599
745	237.8326213	400.1611772
746	236.4728967	398.3984103
747	235.2542434	396.8894968
748	233.6023818	395.2971474
749	232.9291467	394.3636703
750	232.0061578	393.2127495
751	231.1639519	392.310971
752	229.6370092	390.5097931
753	229.3236875	389.9643965
754	228.7617447	389.4431491
755	227.0925772	387.8374279
756	226.3664084	386.9749517
757	225.0406784	385.6242779
758	223.7619561	384.1923937
