iter	Passed	Remaining
0	1554	3106577
1	3093	3090245
2	3120	2077129
3	3351	1672613
4	3357	1339456
5	4902	1629390
6	4998	1423266
7	5046	1256551
8	5224	1155730
9	6687	1330809
10	8120	1468301
11	9599	1590384
12	9796	1497386
13	10540	1495278
14	12020	1590757
15	13478	1671373
16	14917	1740060
17	16319	1796940
18	17851	1861213
19	19320	1912714
20	20759	1956373
21	22327	2007431
22	23931	2057098
23	25730	2118495
24	25756	2034728
25	27562	2092615
26	29278	2139534
27	30870	2174182
28	32447	2205321
29	34178	2244367
30	35773	2272212
31	37327	2295612
32	38913	2319488
33	40441	2338482
34	42056	2361179
35	43616	2379537
36	43703	2318657
37	45458	2347106
38	47028	2364670
39	48657	2384210
40	50438	2409966
41	52083	2428071
42	53726	2445178
43	55464	2465669
44	57103	2480824
45	57129	2426764
46	58795	2443143
47	58881	2394521
48	60547	2410764
49	62130	2423103
50	63749	2436245
51	65386	2449475
52	66992	2461014
53	68616	2472739
54	70213	2483021
55	70413	2444364
56	72101	2457764
57	73827	2471934
58	75789	2493335
59	77552	2507519
60	79282	2520128
61	80924	2529556
62	82536	2537673
63	84065	2542975
64	85643	2549535
65	87269	2557267
66	88949	2566254
67	90625	2574842
68	92305	2583219
69	94005	2591857
70	95704	2600193
71	95722	2563241
72	97390	2570847
73	99046	2577893
74	100760	2586194
75	102361	2591367
76	104083	2599376
77	105716	2604969
78	107359	2610596
79	109095	2618294
80	110699	2622631
81	112417	2629466
82	114106	2635451
83	115747	2640147
84	117495	2647099
85	119201	2652925
86	120919	2658839
87	122576	2663256
88	124358	2670220
89	126023	2674503
90	127753	2680021
91	129399	2683633
92	131104	2688342
93	132738	2691491
94	134410	2695284
95	136092	2699176
96	137777	2702994
97	139503	2707502
98	141235	2712007
99	143056	2718068
100	144887	2724180
101	146640	2728660
102	148223	2729903
103	150456	2742934
104	152339	2749357
105	154329	2757552
106	156242	2764181
107	157859	2765465
108	159524	2767526
109	161168	2769164
110	162954	2773159
111	164685	2776131
112	166492	2780274
113	168134	2781595
114	169718	2781910
115	171255	2781418
116	173129	2786345
117	175277	2795521
118	177145	2800088
119	178995	2804259
120	180842	2808295
121	180850	2783906
122	182627	2786925
123	182825	2765975
124	184533	2768006
125	186378	2772006
126	188130	2774551
127	190386	2784402
128	192424	2790899
129	194362	2795829
130	196283	2800415
131	198144	2804050
132	200097	2808884
133	201968	2812481
134	203856	2816240
